shape,group,label,method,num_tests,warmup,breather,rep,tflops,clk_min,clk_med,clk_max,n_clk_samples,kernel_ms
32768x16384x32768,B,nt=30,event,30,10,flush8,0,6197,1455,1477,1477,101,5.117
32768x16384x32768,B,nt=30,event,30,10,flush8,1,6239,1455,1455.0,1492,100,5.117
32768x16384x32768,B,nt=30,event,30,10,flush8,2,6139,1410,1455.0,1492,102,5.117
32768x16384x32768,C,br=none,event,10,10,none,0,5462,1462,1462,1462,31,5.117
32768x16384x32768,C,br=none,event,10,10,none,1,5542,1290,1290,1297,31,5.117
32768x16384x32768,C,br=none,event,10,10,none,2,5650,1290,1297.0,1297,30,5.117
32768x16384x32768,C,br=flush8,event,10,10,flush8,0,6210,1290,1290,1290,33,5.117
32768x16384x32768,C,br=flush8,event,10,10,flush8,1,6322,1455,1455,1455,33,5.117
32768x16384x32768,C,br=flush8,event,10,10,flush8,2,6333,1455,1500,1500,33,5.117
32768x16384x32768,C,br=flush32,event,10,10,flush32,0,7026,1470,1470,1860,45,5.117
32768x16384x32768,C,br=flush32,event,10,10,flush32,1,7012,1965,1965,1965,45,5.117
32768x16384x32768,C,br=flush32,event,10,10,flush32,2,7071,2032,2032,2055,45,5.117
32768x16384x32768,C,br=flushA,event,10,10,flushA,0,7081,2062,2062.0,2062,52,5.117
32768x16384x32768,C,br=flushA,event,10,10,flushA,1,7078,2062,2062,2062,53,5.117
32768x16384x32768,C,br=flushA,event,10,10,flushA,2,7077,2062,2062,2062,53,5.117
32768x16384x32768,C,br=sleep,event,10,10,sleep,0,6936,2062,2062.0,2062,50,5.117
32768x16384x32768,C,br=sleep,event,10,10,sleep,1,7019,2062,2062,2062,49,5.117
32768x16384x32768,C,br=sleep,event,10,10,sleep,2,6943,2062,2062.0,2062,50,5.117
32768x16384x32768,D,wu=2,event,10,2,flush8,0,6877,2062,2062.0,2062,30,5.117
32768x16384x32768,D,wu=2,event,10,2,flush8,1,6411,1530,2062.0,2062,32,5.117
32768x16384x32768,D,wu=2,event,10,2,flush8,2,6382,1500,1530.0,1530,32,5.117
32768x16384x32768,D,wu=10,event,10,10,flush8,0,6436,1500,1567.0,1567,32,5.117
32768x16384x32768,D,wu=10,event,10,10,flush8,1,6428,1560,1560.0,1560,32,5.117
32768x16384x32768,D,wu=10,event,10,10,flush8,2,6202,1477,1537.0,1537,34,5.117
32768x16384x32768,D,wu=30,event,10,30,flush8,0,6244,1425,1425,1425,33,5.117
32768x16384x32768,D,wu=30,event,10,30,flush8,1,6393,1522,1522,1522,33,5.117
32768x16384x32768,D,wu=30,event,10,30,flush8,2,6261,1477,1477,1485,33,5.117
32768x16384x32768,D,wu=60,event,10,60,flush8,0,6151,1432,1432.0,1455,34,5.117
32768x16384x32768,D,wu=60,event,10,60,flush8,1,6276,1477,1515.0,1515,34,5.117
32768x16384x32768,D,wu=60,event,10,60,flush8,2,6234,1530,1530,1530,33,5.117
32768x16384x32768,D,wu10+idle0.5,event,10,10,flush8,0,6929,2062,2062.0,2062,30,5.117
32768x16384x32768,D,wu10+idle0.5,event,10,10,flush8,1,6786,2062,2062,2062,31,5.117
32768x16384x32768,D,wu10+idle0.5,event,10,10,flush8,2,6786,2062,2062,2062,31,5.117
32768x16384x32768,E,graph+nt5+flush32,graph,5,10,flush32,0,6915,1492,1492,1695,23,5.117
32768x16384x32768,E,graph+nt5+flush32,graph,5,10,flush32,1,6904,1852,1852,1852,23,5.117
32768x16384x32768,E,graph+nt5+flush32,graph,5,10,flush32,2,6925,1912,1912.0,1912,22,5.117
32768x16384x32768,E,event+nt5+flushA,event,5,10,flushA,0,6942,2062,2062.0,2062,26,5.117
32768x16384x32768,E,event+nt5+flushA,event,5,10,flushA,1,6933,2062,2062.0,2062,26,5.117
32768x16384x32768,E,event+nt5+flushA,event,5,10,flushA,2,6932,2062,2062.0,2062,26,5.117
